species,water_type,key_nutrients,deficiencies_addressed,protein_g,omega3_mg,iron_mg,zinc_mg,vitamin_b12_ug,vitamin_d_ug,iodine_ug,vitamin_a_ug,region,farming_suitable,tank_size_liters,difficulty,notes
Tilapia,freshwater,"protein,vitamin_b12,selenium","vitamin_b12_deficiency,zinc_deficiency",26.0,200,1.3,1.6,1.9,5.0,12,9,"Africa,Asia,South America",1,200,easy,"Hardy, fast-growing - ideal for first-time terrace aquaculture."
Catfish,freshwater,"protein,vitamin_b12,omega3","vitamin_b12_deficiency,iron_deficiency",22.7,350,1.5,1.2,2.5,3.0,8,10,"North America,Africa,Asia",1,250,easy,Air-breathing - tolerant of low-oxygen tanks.
Rainbow Trout,freshwater,"omega3,vitamin_d,vitamin_b12,protein","vitamin_d_deficiency,vitamin_b12_deficiency,iron_deficiency",20.5,1180,1.7,1.0,6.0,15.0,13,28,"Europe,North America",1,400,medium,"Needs cool, well-oxygenated water (~12-18C)."
Common Carp,freshwater,"protein,vitamin_b12,iron","iron_deficiency,vitamin_b12_deficiency",18.3,250,1.8,1.5,1.5,6.0,10,12,"Asia,Europe",1,300,easy,"Tolerant of murky, low-flow water - very hardy."
Rohu (Indian Carp),freshwater,"protein,vitamin_c,iron","iron_deficiency,zinc_deficiency",19.0,280,1.9,1.4,1.2,4.5,9,15,South Asia,1,350,medium,Staple of South Asian polyculture ponds.
Nile Perch,freshwater,"protein,omega3,vitamin_d","vitamin_d_deficiency,iron_deficiency",25.0,600,1.6,1.1,3.0,12.0,11,18,Africa,0,1000,hard,Large predator - needs very large tanks; better for ponds.
Milkfish,brackish,"protein,omega3,iodine,vitamin_b12","iron_deficiency,vitamin_b12_deficiency,vitamin_d_deficiency",20.5,600,1.4,1.0,4.5,11.0,60,20,"Southeast Asia,Pacific",1,500,medium,Brackish-tolerant - classic terrace pond fish in the Philippines.
Barramundi,brackish,"omega3,protein,vitamin_d","vitamin_d_deficiency,vitamin_b12_deficiency",23.0,800,1.3,1.2,3.5,13.0,30,14,"Australia,Southeast Asia",1,600,medium,Euryhaline - thrives in fresh or brackish terrace tanks.
Mullet,brackish,"omega3,protein,iodine","iron_deficiency,vitamin_d_deficiency",21.0,1400,1.4,1.0,2.8,9.0,45,22,"Mediterranean,Asia,Africa",1,450,medium,Adapts to brackish lagoons and rooftop ponds.
Silver Pomfret,brackish,"protein,omega3,vitamin_a","vitamin_a_deficiency,iron_deficiency",18.0,700,1.2,0.9,2.0,8.0,28,35,"South Asia,East Asia",0,800,hard,"Delicate - difficult in small tanks, mainly capture fisheries."
